text,label
"Hello team, the meeting is at 3 PM today. Please find the agenda attached.",0
"Your package has been shipped. Track it at our official portal.",0
"Weekly newsletter: tips for productivity and coding best practices.",0
"Invoice for your recent purchase is attached. Thank you!",0
"Reset your password within 24 hours or your account will be suspended.",1
"URGENT: Verify your account now to avoid closure http://bad.example.com",1
"Security alert: unusual activity detected. Confirm identity.",1
"Important update to our terms and conditions.",0
"Reminder: Project deadline is tomorrow. No action required.",0
"You won a lottery! Click below to claim your reward.",1
"Bank notice: confirm your payment immediately to avoid fees.",1
"Please review the attached minutes from our last meeting.",0
"Action required: confirm billing information now.",1
"System maintenance scheduled for Sunday.",0
"Limited time offer! Get your gift card now!",1
"Your account statement is ready to view.",0
"Unusual login attempt detected, reset your password now.",1
"HR update: policy changes effective next month.",0
"Confirm your identity to continue using services.",1
"Friendly reminder: timesheet due EOD.",0
"Payment failed. Update your card details.",1
"Lunch and learn session invites.",0
"Click below to avoid account suspension.",1
"Newsletter: community events and webinars.",0
"OTP: 492013. Do not share with anyone.",1
"New blog: building REST APIs with Flask.",0
"Prize awaiting! Provide bank details to receive funds.",1
"Invoice attached for April services.",0
"Access your document securely at our portal.",0
"Your mailbox is almost full. Increase storage now.",1
"Quarterly results are published on the intranet.",0
"Your subscription is expiring. Renew now to prevent interruption.",1
"Team offsite details and itinerary.",0
"We detected unusual activity; verify at http://secure-login.example.net",1
"Welcome to the platform! Get started guide inside.",0
"Security alert: password reset required immediately!",1
"Sprint retrospective notes attached.",0
"Confirm billing to continue service.",1
"Community update: upcoming maintenance window.",0
"Gift inside! Limited time only.",1
"Meeting rescheduled to 11 AM.",0
"Update your payment information today.",1
"Webinar invite: data visualization best practices.",0
"Your account will be deactivated unless you act now.",1
"Reminder: submit forms by Friday.",0
"Bank account alert: verify your identity immediately.",1
"Thanks for your purchase. Receipt enclosed.",0
"Friendly reminder: security training next week.",0
"Click the link to reset password.",1
"Social event on Thursday at 6 PM.",0
"Payment confirmation received. Thank you!",0
"Limited offer!!! Act fast!!!",1
"Project kickoff tomorrow at 10 AM.",0
"Please verify your payment within 24 hours.",1
"Your statement is available online.",0
"Unusual activity detected; confirm your identity.",1
"Team lunch poll: vote now.",0
